period,year,month,MonthYear,retail_all,retail_food,retail_nonfood,retail_online,retail_fuel
2022-02-01,2022,2,2022-02,15.2,0.0,38.9,0.0,57.6
2022-03-01,2022,3,2022-03,11.8,0.0,31.4,0.0,47.4
2022-04-01,2022,4,2022-04,96.3,89.4,97.3,101.1,114.7
2022-05-01,2022,5,2022-05,96.1,88.6,97.8,98.7,116.8
2022-06-01,2022,6,2022-06,4.0,3.4,1.2,0.0,35.1
2022-07-01,2022,7,2022-07,99.1,94.9,98.0,96.2,125.2
2022-08-01,2022,8,2022-08,97.1,94.7,95.2,95.2,116.8
2022-09-01,2022,9,2022-09,96.7,94.1,96.6,94.8,110.8
2022-10-01,2022,10,2022-10,5.2,7.2,1.7,0.0,22.8
2022-11-01,2022,11,2022-11,98.1,96.1,98.4,92.5,113.4
2022-12-01,2022,12,2022-12,2.5,6.3,2.5,0.0,6.4
2023-01-01,2023,1,2023-01,3.6,9.3,2.9,0.0,6.3
2023-02-01,2023,2,2023-02,4.9,11.2,4.3,0.0,0.0
2023-03-01,2023,3,2023-03,98.7,98.3,99.0,98.1,100.4
2023-04-01,2023,4,2023-04,100.9,100.2,102.2,99.3,101.1
2023-05-01,2023,5,2023-05,100.2,100.2,101.4,99.9,96.4
2023-06-01,2023,6,2023-06,3.3,10.1,4.6,4.0,0.0
2023-07-01,2023,7,2023-07,99.7,99.5,100.6,101.1,94.9
2023-08-01,2023,8,2023-08,3.5,6.7,4.9,7.6,0.0
2023-09-01,2023,9,2023-09,100.4,102.3,98.3,100.2,101.9
2023-10-01,2023,10,2023-10,2.4,7.7,0.0,5.8,0.0
2023-11-01,2023,11,2023-11,101.9,102.7,101.2,102.1,100.8
2023-12-01,2023,12,2023-12,0.0,1.6,0.0,7.1,0.0
2024-01-01,2024,1,2024-01,2.9,6.2,1.8,3.7,0.0
2024-02-01,2024,2,2024-02,1.6,3.9,0.4,2.8,0.0
2024-03-01,2024,3,2024-03,101.1,100.8,101.2,100.3,102.7
2024-04-01,2024,4,2024-04,0.0,0.0,0.0,0.9,0.6
2024-05-01,2024,5,2024-05,2.3,0.9,0.9,7.2,7.4
2024-06-01,2024,6,2024-06,0.0,0.0,0.0,4.7,6.5
2024-07-01,2024,7,2024-07,101.3,100.7,100.7,105.2,100.1
2024-08-01,2024,8,2024-08,1.0,1.1,1.1,0.0,0.8
2024-09-01,2024,9,2024-09,0.8,0.0,4.9,2.6,0.0
2024-10-01,2024,10,2024-10,0.0,0.0,2.9,0.1,0.0
2024-11-01,2024,11,2024-11,0.0,0.0,0.1,0.0,0.0
2024-12-01,2024,12,2024-12,3.0,3.7,5.0,0.0,0.0
2025-01-01,2025,1,2025-01,0.0,0.7,0.4,0.0,0.0
2025-02-01,2025,2,2025-02,1.1,0.0,3.0,0.0,0.0
2025-03-01,2025,3,2025-03,103.1,101.9,105.8,104.2,96.1
2025-04-01,2025,4,2025-04,2.8,2.5,5.1,4.8,0.0
2025-05-01,2025,5,2025-05,0.0,0.0,0.5,0.0,0.0
2025-06-01,2025,6,2025-06,1.5,2.1,3.5,2.4,0.0
2025-07-01,2025,7,2025-07,1.6,1.5,3.3,3.4,0.0
2025-08-01,2025,8,2025-08,103.5,102.8,105.3,109.5,91.0
