period,retail_all,retail_food,retail_nonfood,retail_online,retail_fuel,year,month
1992-05-01,24.833333333333332,31.4,43.1,0.0,32.6,1992,5
1992-06-01,24.8,31.7,42.7,0.0,32.6,1992,6
1992-07-01,22.85,1.8,-1.4,0.0,91.0,1992,7
1992-08-01,24.55,3.0,4.2,0.0,91.0,1992,8
1992-09-01,24.075,3.3,2.0,0.0,91.0,1992,9
1992-10-01,24.85,6.4,2.0,0.0,91.0,1992,10
1992-11-01,24.5,6.6,0.4,0.0,91.0,1992,11
1992-12-01,25.025,6.3,2.8,0.0,91.0,1992,12
1993-01-01,24.9,5.2,3.4,0.0,91.0,1993,1
1993-02-01,25.399999999999995,32.4,43.8,0.0,32.6,1993,2
1993-03-01,24.75,3.9,4.1,0.0,91.0,1993,3
1993-04-01,25.600000000000005,32.7,44.1,0.0,32.6,1993,4
1993-05-01,25.566666666666663,32.9,43.8,0.0,32.6,1993,5
1993-06-01,25.833333333333332,32.9,44.6,0.0,32.6,1993,6
1993-07-01,25.666666666666668,32.8,44.2,0.0,32.6,1993,7
1993-08-01,25.1,5.6,3.8,0.0,91.0,1993,8
1993-09-01,26.066666666666663,33.3,44.9,0.0,32.6,1993,9
1993-10-01,26.166666666666668,33.4,45.1,0.0,32.6,1993,10
1993-11-01,25.2,4.3,5.5,0.0,91.0,1993,11
1993-12-01,25.95,5.7,7.1,0.0,91.0,1993,12
1994-01-01,25.35,3.3,7.1,0.0,91.0,1994,1
1994-02-01,24.4,3.8,2.8,0.0,91.0,1994,2
1994-03-01,24.95,3.3,5.5,0.0,91.0,1994,3
1994-04-01,24.65,4.2,3.4,0.0,91.0,1994,4
1994-05-01,26.8,34.2,46.2,0.0,32.6,1994,5
1994-06-01,24.75,4.6,3.4,0.0,91.0,1994,6
1994-07-01,26.833333333333332,34.7,45.8,0.0,32.6,1994,7
1994-08-01,24.9,4.7,3.9,0.0,91.0,1994,8
1994-09-01,27.26666666666667,34.7,47.1,0.0,32.6,1994,9
1994-10-01,27.233333333333334,35.0,46.7,0.0,32.6,1994,10
1994-11-01,24.9,5.3,3.3,0.0,91.0,1994,11
1994-12-01,27.46666666666667,35.2,47.2,0.0,32.6,1994,12
1995-01-01,23.7,3.6,0.2,0.0,91.0,1995,1
1995-02-01,27.566666666666663,35.8,46.9,0.0,32.6,1995,2
1995-03-01,25.15,7.6,2.0,0.0,91.0,1995,3
1995-04-01,27.46666666666667,35.7,46.7,0.0,32.6,1995,4
1995-05-01,24.825,7.1,1.2,0.0,91.0,1995,5
1995-06-01,27.633333333333336,36.3,46.6,0.0,32.6,1995,6
1995-07-01,24.675,5.0,2.7,0.0,91.0,1995,7
1995-08-01,27.933333333333337,37.2,46.6,0.0,32.6,1995,8
1995-09-01,28.166666666666668,36.8,47.7,0.0,32.6,1995,9
1995-10-01,24.825,5.7,2.6,0.0,91.0,1995,10
1995-11-01,25.025,5.7,3.4,0.0,91.0,1995,11
1995-12-01,25.425,6.5,4.2,0.0,91.0,1995,12
1996-01-01,24.9,6.1,2.5,0.0,91.0,1996,1
1996-02-01,25.15,6.4,3.2,0.0,91.0,1996,2
1996-03-01,25.025,5.0,4.1,0.0,91.0,1996,3
1996-04-01,39.7,38.4,50.2,0.0,34.1,1996,4
1996-05-01,25.45,4.3,6.5,0.0,91.0,1996,5
1996-06-01,26.7,6.9,8.9,0.0,91.0,1996,6
1996-07-01,25.9,6.9,5.7,0.0,91.0,1996,7
1996-08-01,25.7,4.1,7.7,0.0,91.0,1996,8
1996-09-01,26.25,6.2,7.8,0.0,91.0,1996,9
1996-10-01,25.875,5.6,6.9,0.0,91.0,1996,10
1996-11-01,26.2,4.9,8.9,0.0,91.0,1996,11
1996-12-01,39.6,38.2,50.9,0.0,31.1,1996,12
1997-01-01,6.2,6.4,6.7,0.0,3.0,1997,1
1997-02-01,4.5,3.6,6.9,0.0,2.2,1997,2
1997-03-01,5.1,3.9,6.8,0.0,1.9,1997,3
1997-04-01,41.3,39.8,52.9,0.0,33.8,1997,4
1997-05-01,41.2,39.8,52.0,0.0,36.6,1997,5
1997-06-01,5.0,2.7,6.5,0.0,9.9,1997,6
1997-07-01,6.2,4.6,7.6,0.0,8.1,1997,7
1997-08-01,5.3,5.9,5.0,0.0,7.3,1997,8
1997-09-01,3.5,5.0,2.6,0.0,7.0,1997,9
1997-10-01,42.7,41.2,54.1,0.0,37.6,1997,10
1997-11-01,42.8,41.1,54.3,0.0,38.7,1997,11
1997-12-01,43.0,41.4,54.3,0.0,38.8,1997,12
1998-01-01,6.3,5.5,6.7,0.0,13.5,1998,1
